under,top,pred_th
60,68,AA
60,69,A
60,70,A
60,71,A
60,72,A
60,73,A
60,74,unknown
60,75,unknown
60,76,unknown
60,77,unknown
60,78,unknown
60,79,unknown
60,80,unknown
60,81,unknown
60,82,unknown
60,83,unknown
60,84,unknown
60,85,unknown
60,86,unknown
60,87,unknown
60,88,unknown
60,89,unknown
60,90,unknown
60,91,unknown
60,92,unknown
60,93,unknown
60,94,unknown
60,95,unknown
60,96,unknown
60,97,unknown
60,98,unknown
60,99,unknown
60,100,unknown
60,101,unknown
60,102,unknown
60,103,unknown
60,104,unknown
60,105,unknown
60,106,unknown
60,107,unknown
60,108,unknown
60,109,unknown
60,110,unknown
60,111,unknown
60,112,unknown
60,113,unknown
60,114,unknown
60,115,unknown
60,116,unknown
60,117,unknown
60,118,unknown
60,119,unknown
60,120,unknown
60,121,unknown
60,122,unknown
60,123,unknown
60,124,unknown
61,68,A
61,69,A
61,70,A
61,71,A
61,72,A
61,73,unknown
61,74,unknown
61,75,unknown
61,76,unknown
61,77,unknown
61,78,unknown
61,79,unknown
61,80,unknown
61,81,unknown
61,82,unknown
61,83,unknown
61,84,unknown
61,85,unknown
61,86,unknown
61,87,unknown
61,88,unknown
61,89,unknown
61,90,unknown
61,91,unknown
61,92,unknown
61,93,unknown
61,94,unknown
61,95,unknown
61,96,unknown
61,97,unknown
61,98,unknown
61,99,unknown
61,100,unknown
61,101,unknown
61,102,unknown
61,103,unknown
61,104,unknown
61,105,unknown
61,106,unknown
61,107,unknown
61,108,unknown
61,109,unknown
61,110,unknown
61,111,unknown
61,112,unknown
61,113,unknown
61,114,unknown
61,115,unknown
61,116,unknown
61,117,unknown
61,118,unknown
61,119,unknown
61,120,unknown
61,121,unknown
61,122,unknown
61,123,unknown
61,124,unknown
62,68,unknown
62,69,A
62,70,A
62,71,A
62,72,A
62,73,unknown
62,74,unknown
62,75,A
62,76,unknown
62,77,unknown
62,78,unknown
62,79,unknown
62,80,unknown
62,81,unknown
62,82,unknown
62,83,unknown
62,84,unknown
62,85,unknown
62,86,unknown
62,87,unknown
62,88,unknown
62,89,unknown
62,90,unknown
62,91,unknown
62,92,unknown
62,93,unknown
62,94,unknown
62,95,unknown
62,96,unknown
62,97,unknown
62,98,unknown
62,99,unknown
62,100,unknown
62,101,unknown
62,102,unknown
62,103,unknown
62,104,unknown
62,105,unknown
62,106,unknown
62,107,unknown
62,108,unknown
62,109,unknown
62,110,unknown
62,111,unknown
62,112,unknown
62,113,unknown
62,114,unknown
62,115,unknown
62,116,unknown
62,117,unknown
62,118,unknown
62,119,unknown
62,120,unknown
62,121,unknown
62,122,unknown
62,123,unknown
62,124,unknown
63,68,unknown
63,69,unknown
63,70,A
63,71,unknown
63,72,unknown
63,73,unknown
63,74,A
63,75,A
63,76,A
63,77,unknown
63,78,B
63,79,unknown
63,80,C
63,81,unknown
63,82,unknown
63,83,unknown
63,84,unknown
63,85,unknown
63,86,unknown
63,87,unknown
63,88,unknown
63,89,unknown
63,90,unknown
63,91,unknown
63,92,unknown
63,93,unknown
63,94,unknown
63,95,unknown
63,96,unknown
63,97,unknown
63,98,unknown
63,99,unknown
63,100,unknown
63,101,unknown
63,102,unknown
63,103,unknown
63,104,unknown
63,105,unknown
63,106,unknown
63,107,unknown
63,108,unknown
63,109,unknown
63,110,unknown
63,111,unknown
63,112,unknown
63,113,unknown
63,114,unknown
63,115,unknown
63,116,unknown
63,117,unknown
63,118,unknown
63,119,unknown
63,120,unknown
63,121,unknown
63,122,unknown
63,123,unknown
63,124,unknown
64,68,unknown
64,69,unknown
64,70,unknown
64,71,unknown
64,72,unknown
64,73,A
64,74,A
64,75,A
64,76,A
64,77,B
64,78,B
64,79,B
64,80,C
64,81,C
64,82,D
64,83,D
64,84,D
64,85,E
64,86,unknown
64,87,unknown
64,88,F
64,89,unknown
64,90,unknown
64,91,unknown
64,92,unknown
64,93,unknown
64,94,unknown
64,95,unknown
64,96,unknown
64,97,unknown
64,98,unknown
64,99,unknown
64,100,unknown
64,101,unknown
64,102,unknown
64,103,unknown
64,104,unknown
64,105,unknown
64,106,unknown
64,107,unknown
64,108,unknown
64,109,unknown
64,110,unknown
64,111,unknown
64,112,unknown
64,113,unknown
64,114,unknown
64,115,unknown
64,116,unknown
64,117,unknown
64,118,unknown
64,119,unknown
64,120,unknown
64,121,unknown
64,122,unknown
64,123,unknown
64,124,unknown
65,68,unknown
65,69,unknown
65,70,unknown
65,71,unknown
65,72,unknown
65,73,AA
65,74,A
65,75,A
65,76,A
65,77,B
65,78,B
65,79,B
65,80,C
65,81,C
65,82,D
65,83,D
65,84,D
65,85,E
65,86,E
65,87,F
65,88,F
65,89,F
65,90,unknown
65,91,unknown
65,92,unknown
65,93,unknown
65,94,unknown
65,95,unknown
65,96,unknown
65,97,unknown
65,98,unknown
65,99,unknown
65,100,unknown
65,101,unknown
65,102,unknown
65,103,unknown
65,104,unknown
65,105,unknown
65,106,unknown
65,107,unknown
65,108,unknown
65,109,unknown
65,110,unknown
65,111,unknown
65,112,unknown
65,113,unknown
65,114,unknown
65,115,unknown
65,116,unknown
65,117,unknown
65,118,unknown
65,119,unknown
65,120,unknown
65,121,unknown
65,122,unknown
65,123,unknown
65,124,unknown
66,68,unknown
66,69,unknown
66,70,unknown
66,71,unknown
66,72,unknown
66,73,A
66,74,A
66,75,A
66,76,A
66,77,B
66,78,B
66,79,B
66,80,C
66,81,C
66,82,D
66,83,D
66,84,D
66,85,E
66,86,unknown
66,87,unknown
66,88,F
66,89,unknown
66,90,unknown
66,91,unknown
66,92,unknown
66,93,unknown
66,94,unknown
66,95,unknown
66,96,unknown
66,97,unknown
66,98,unknown
66,99,unknown
66,100,unknown
66,101,unknown
66,102,unknown
66,103,unknown
66,104,unknown
66,105,unknown
66,106,unknown
66,107,unknown
66,108,unknown
66,109,unknown
66,110,unknown
66,111,unknown
66,112,unknown
66,113,unknown
66,114,unknown
66,115,unknown
66,116,unknown
66,117,unknown
66,118,unknown
66,119,unknown
66,120,unknown
66,121,unknown
66,122,unknown
66,123,unknown
66,124,unknown
67,68,unknown
67,69,unknown
67,70,unknown
67,71,unknown
67,72,unknown
67,73,unknown
67,74,A
67,75,A
67,76,A
67,77,unknown
67,78,B
67,79,unknown
67,80,C
67,81,unknown
67,82,unknown
67,83,unknown
67,84,unknown
67,85,unknown
67,86,unknown
67,87,unknown
67,88,unknown
67,89,unknown
67,90,unknown
67,91,unknown
67,92,unknown
67,93,unknown
67,94,unknown
67,95,unknown
67,96,unknown
67,97,unknown
67,98,unknown
67,99,unknown
67,100,unknown
67,101,unknown
67,102,unknown
67,103,unknown
67,104,unknown
67,105,unknown
67,106,unknown
67,107,unknown
67,108,unknown
67,109,unknown
67,110,unknown
67,111,unknown
67,112,unknown
67,113,unknown
67,114,unknown
67,115,unknown
67,116,unknown
67,117,unknown
67,118,unknown
67,119,unknown
67,120,unknown
67,121,unknown
67,122,unknown
67,123,unknown
67,124,unknown
68,68,unknown
68,69,unknown
68,70,unknown
68,71,unknown
68,72,unknown
68,73,unknown
68,74,unknown
68,75,A
68,76,unknown
68,77,unknown
68,78,unknown
68,79,A
68,80,A
68,81,A
68,82,unknown
68,83,B
68,84,unknown
68,85,C
68,86,unknown
68,87,unknown
68,88,unknown
68,89,unknown
68,90,unknown
68,91,unknown
68,92,unknown
68,93,unknown
68,94,unknown
68,95,unknown
68,96,unknown
